Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"8,966,467","First published September 14, 2008","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.","225,421",374,Hardcover,"3,909,827","Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic"
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,"667,731","First published January 1, 1956","Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is ","12,850",767,Paperback,"1,460,608","Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade"
7,Animal Farm,George Orwell,3.99,"4,037,726","First published August 17, 1945","A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. ","103,396",141,Mass Market Paperback,"1,584,824","Classics, Fiction, Dystopia, Fantasy, School, Literature, Science Fiction"
3,Pride and Prejudice,Jane Austen,4.29,"4,379,959","First published January 28, 1813","Since its immediate success in 1813, ","122,204",279,Paperback,"2,767,729","Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance"
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,"6,771,252","First published October 5, 2005",About three things I was absolutely positive.,"134,418",498,Paperback,"1,695,599","Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance"
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,"136,458","First published January 1, 1954","This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).","2,326",1728,Mass Market Paperback,"1,530,279","Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy"
5,The Book Thief,Markus Zusak,4.39,"2,647,953","First published September 1, 2005","It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.","149,146",592,Kindle Edition,"1,846,129","Historical Fiction, Fiction, Young Adult, Classics, Historical, War, World War II"
4,To Kill a Mockingbird,Harper Lee,4.26,"6,333,147","First published July 11, 1960","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.","121,285",323,Paperback,"2,467,062","Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School"
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"3,490,274","First published June 21, 2003","Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.","67,201",912,Paperback,"3,148,718","Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure"
12,The Giving Tree,Shel Silverstein,4.38,"1,157,146","First published January 1, 1964","""Once there was a tree...and she loved a little boy.""","22,741",64,Hardcover,"1,188,010","Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy"
